run_id,comparison_id,prompt_family,observed_winner,alpha_delta,engagement_recommendation,recommended_response_mode,engagement_signals,stay_concise_signals,risk_if_engaged,risk_if_not_engaged,confidence,future_test_priority,rationale
A3-1,cmp-HHE-002,higher-headroom release-note claim boundary,Plain,-3,mixed-answer-first,evidence-boundary,claim-boundary risk;unsupported validation wording;evidence uncertainty,release note should stay publishable and concise,overlong memo or unsupported added metrics,unsafe validation or superiority wording may remain,medium,high,"Plain won, but prompt still needs compact claim-boundary handling."
A3-1,cmp-HHE-003,higher-headroom repo evidence discipline,Plain,-1,mixed-answer-first,direct,source hierarchy conflict;evidence uncertainty,operator needs direct trust rule,unnecessary process or generic commands,planning ledger could be treated as implementation proof,medium,medium,"Narrow plain win suggests direct answer first with concise source-hierarchy caveat."
A3-1,cmp-HHE-007,higher-headroom go-no-go memo,Plain,-4,engage,compact-expert,multi-step operator workflow;risk/failure handling;decision needed,go/no-go memo needs clear decision,roles or timelines could be invented,decision may miss hidden constraints or risk path,low,high,"Plain won limited run, but family has enough workflow risk for compact expert engagement."
A3-1,cmp-HHE-009,higher-headroom safe agent instruction cleanup,Plain,-1,mixed-answer-first,safe-rewrite,safety or credential risk;unsupported proof wording;coding-agent cleanup,direct rewrite requested,extra protocol could obscure safe replacement,unsafe credential or proof language may persist,medium,high,"Narrow plain win and safety risk favor concise safe rewrite plus removed items."
Batch-B,cmp-B1-CAND-001,Claim-boundary and release wording,Alpha,10,engage,evidence-boundary,claim-boundary risk;unsupported validation wording;high cost of overclaiming,publishable sentence should not become full validation memo,invented metrics or improvement direction,unsupported MVP or superiority claim,high,high,"Alpha win indicates expert claim-boundary behavior is useful if kept compact."
Batch-B,cmp-B1-CAND-003,Source hierarchy and repo-vs-sheet discipline,Plain,-3,mixed-answer-first,direct,source hierarchy conflict;planning ledger vs committed artifact conflict,operator asks which source to trust,overlong template or ungrounded commands,spreadsheet could override repo evidence,high,medium,"Plain won due cleaner operator-fit; use direct rule then minimal reconcile step."
Batch-B,cmp-B1-CAND-005,Backlog/reviewer comment,Plain,-5,stay-concise,reviewer-comment,source evidence gap,user asks for firm constructive reviewer comment,over-specified acceptance criteria or timeline,review may miss missing-artifact risk,high,medium,"Reviewer-comment format should stay compact with only necessary remediation paths."
Batch-B,cmp-B1-CAND-007,Unsafe instruction cleanup,Alpha,3,mixed-answer-first,safe-rewrite,safety or credential risk;unsupported proof wording;unsafe PR wording,direct cleanup requested,invented commands or file examples,credential misuse or unsupported validation wording remains,high,high,"Alpha safety cleanup was stronger but should avoid ungrounded implementation details."
Batch-B,cmp-B1-CAND-009,Public marketing claim control,Alpha,5,mixed-answer-first,evidence-boundary,public claim risk;evidence uncertainty;high cost of overclaiming,yes/no first;short alternative requested,too much process after yes/no,public comparison could overstate limited evidence,high,high,"Use answer-first with compact alternative plan and evidence limits."
Batch-B,cmp-B1-CAND-011,Artifact preservation stop condition,Alpha,1,engage,artifact-stop-condition,artifact preservation risk;need for remediation path or stop condition,operator note can be concise,incident-style overdesign or invented roles,work may continue without preserved captures,medium,high,"Narrow Alpha win supports stop-condition engagement but with tight scope."
Batch-B,cmp-B1-CAND-013,Implementation prompt summarization,Alpha,3,mixed-answer-first,compact-expert,hidden constraints;protocol/checklist requirements;non-overlap,summary requested not system design,optional governance or runtime design creep,implementation prompt may omit stop conditions,medium,medium,"Use compact execution framing without expanding into unrequested system design."
Batch-B,cmp-B1-CAND-015,Brevity/control,Plain,-8,stay-concise,direct,evidence uncertainty,under 120 words;busy reviewer;brevity is correctness,generic caveats could exceed requested budget,A3-1 findings may be invented or overstated,high,high,"Strong plain win shows strict concise mode with no invented statistics."
Batch-B,cmp-B1-CAND-017,Live/private data and blinding-risk review,Plain,-3,mixed-answer-first,safe-rewrite,private data risk;blinding risk;live telemetry risk,direct plan rewrite requested,roles timelines and process layers beyond prompt,unsafe live or private-data plan could remain,high,high,"Plain won due cleaner rewrite; keep core risk review and safe rewrite concise."
Batch-B,cmp-B1-CAND-020,Protocol checklist,Alpha,20,engage,full-protocol,protocol/checklist requirements;artifact preservation risk;blinding risk;claim limits,checklist should be usable not sprawling,generic governance or overlong policy language,protocol may omit preservation or non-claims,high,medium,"Strong Alpha win supports expert engagement for protocol checklist prompts."
Batch-B,cmp-B1-CAND-021,Truthful alternative wording,Alpha,24,engage,evidence-boundary,unsupported provider-orchestration wording;truthful alternative;high overclaim cost,alternative wording should stay usable,invented numbers or causal claims,unsupported reasoning-orchestration claim may be published,high,high,"Strong Alpha win supports evidence-boundary engagement with no illustrative unsupported details."
Batch-B,cmp-B1-CAND-022,Raw provider payload preservation explanation,Alpha,3,engage,artifact-stop-condition,artifact preservation risk;evidence hygiene;raw payload handling,reviewer response should remain direct,assumptions about storage or scoring emphasis,raw payloads may be mishandled or committed,medium,medium,"Artifact-preservation explanation benefits from compact expert engagement."
