risk_category,risk_description,forbidden_wording_examples,safer_wording_pattern,required_evidence_for_stronger_claim,evidence_level,related_comparisons,future_test_need
MVP validation,Limited eval artifacts can be overstated as validating the MVP,"MVP validated; launch proven","Limited artifacts support planning; they do not validate the MVP","Predefined validation criteria; representative run; acceptance thresholds; operator approval",Level 4 blocked,"A3-1; Batch B",Forbidden phrase and rewrite test
Alpha superiority,Limited prompt-set result can be generalized into overall superiority,"Alpha is superior; Alpha gives better answers","Batch B favored Alpha in a limited 12-comparison pilot","Representative benchmark; repeated runs; approved interpretation",Level 2 limited,"Batch B aggregate; A3-1 contrast",Bounded-result wording test
broad plain-provider inferiority,Plain provider losses can be overstated into general inferiority,"Plain providers are worse; plain output is inferior","Plain lost 8 of 12 Batch B comparisons; A3-1 favored plain","Representative cross-prompt evidence; benchmark design",Level 2 limited,"A3-1; Batch B",Generalization guard test
production readiness,Planning artifacts can be misread as deployment evidence,"Ready for production; production-ready now","No production readiness claim is supported here","Runtime verification; deployment checklist; monitoring; rollback evidence",Level 4 blocked,"Batch B decision",Readiness refusal plus alternative test
broad runtime readiness,Eval results can be treated as runtime system proof,"Runtime is broadly ready; all paths are ready","The packet changes no runtime behavior","Verified code paths; integration tests; deployed configuration",Level 4 blocked,"Post-interpretation decision",Runtime non-claim test
benchmark success,Internal pilot can be mislabeled as a benchmark,"Benchmark passed; benchmark success","This was a limited internal pilot","Approved benchmark protocol; representative data; locked scoring; analysis",Level 4 blocked,"Batch B score table",Benchmark wording scan
exact billing accuracy,Uncaptured token or cost data can be invented,"Billing is exact; costs reconciled","Token cost was not captured in the score table","Captured usage; provider invoice; reconciliation; audit trail",Level 4 blocked,"Batch B score table",Cost non-invention test
provider reasoning orchestration,Provider or routing behavior can be claimed without implementation evidence,"Provider reasoning orchestration works","Provider orchestration is outside this planning evidence","Runtime implementation; traces; tests; approved architecture",Level 4 blocked,"Decision non-claims",Provider-orchestration non-claim test
causal improvement claim,Score deltas can be overstated as causal proof,"The envelope caused the improvement","The limited result suggests a possible claim-boundary value area","Controlled ablation; repeated comparable prompts; causal analysis",Level 1 directional,"A3-1; Batch B",Causal wording downgrade test
metric or endpoint claim,Unsupported metrics or endpoints can be added for specificity,"Latency improved 20%; endpoint enforces it","No metric or endpoint change is supported by this packet","Instrumentation; endpoint tests; logs; implementation evidence",Level 0 forbidden,"Defects; decision boundaries",Invented metric scan
implementation status claim,A planning packet can be described as shipped behavior,"Alpha now enforces claim boundaries","This is proposed future behavior only","Merged implementation; tests; release note; verified code path",Level 3 only with repo proof,"This planning packet",Planning-vs-implementation test
repo-vs-sheet evidence conflict,Planning ledger notes can be treated as stronger than repo artifacts,"The Sheet proves implementation","Use committed repo evidence; reconcile conflicts before stronger claims","Committed code; specs; tests; preserved artifacts",Level 2 or 3 depending proof,"Repo evidence hierarchy",Source hierarchy test
public marketing claim,Internal results can be converted into external promotional claims,"Customers will get better answers","Use bounded internal wording unless public-claims evidence exists","Public claims review; representative evidence; product/legal approval",Level 4 blocked,"Public marketing comparison prompts",Public-vs-internal wording test
raw provider payload preservation,Artifact preservation can be overstated or require unsafe data,"Raw payload proves the result","Sanitized artifacts support inspectability; raw payloads are not introduced here","Approved preservation policy; sanitized artifacts; secure evidence handling",Level 2 limited,"Artifact preservation prompts",Payload-preservation explanation test
