surface_id,file_path,surface_type,current_role,active_or_reference,related_future_lane,potential_future_change,risk_level,protected_status,tests_required,implementation_readiness,notes
SIM-001,alpha_solver_portable.py,behavior-contract,Portable standalone behavior contract and LLM-facing protocol,active contract,"ALPHA-BREVITY-CONTROL-001; ALPHA-ANSWER-STRUCTURE-V2-001; ALPHA-CLAIM-BOUNDARY-CALIBRATION-001",Future approved contract wording for answer-first and concise caveats,high,protected unless explicitly authorized,"portable golden tests; SAFE-OUT/envelope regression; non-claim scan",refine,Repo instructions identify this as the portable behavior contract.
SIM-002,alpha-solver-v91-python.py,entrypoint,Modular/reference compatibility entrypoint,architecture reference,"ALPHA-ANSWER-STRUCTURE-V2-001; OUTPUT-DIFF-POST-IMPROVEMENT-RUN-001",Only if future entrypoint config forwarding is explicitly approved,high,protected,"CLI smoke; deterministic solver tests; config regression",blocked,Imports modular repo components and is not standalone.
SIM-003,alpha_solver_entry.py,entrypoint,Import bridge and gate wrapper,runtime entrypoint,"ALPHA-SELECTIVE-EXPERT-ENGAGEMENT-PLANNING-001",Avoid unless approved gate behavior changes require bridge updates,high,protected,"gate tests; import compatibility tests; route explanation regression",blocked,Changing this can affect public import behavior.
SIM-004,alpha_solver_cli.py,cli,Root CLI wrapper over compatibility path,runtime entrypoint,ALPHA-ANSWER-STRUCTURE-V2-001,Possible future CLI formatting smoke target,medium,protected,"CLI help; deterministic offline solve smoke; golden output shape",verify,Do not treat as portable behavior contract.
SIM-005,cli/alpha_solver_cli.py,cli,Command workflow CLI for run/replay/gates/finops/traces,runtime entrypoint,OUTPUT-DIFF-POST-IMPROVEMENT-RUN-001,Future smoke/check commands only,medium,protected,"CLI help; replay/gates tests",verify,Useful validation surface but not a behavior seam for this lane.
SIM-006,docs/ENTRYPOINTS.md,docs,Documents portable/reference/bridge/CLI roles,docs-only,ALPHA-BREVITY-CONTROL-001,Future docs-only contract clarification,low,candidate with approval,"docs lint; git diff check",ready,Can clarify roles without runtime behavior.
SIM-007,service/app.py,api-route,FastAPI app and /v1/solve implementation,runtime,"ALPHA-ANSWER-STRUCTURE-V2-001; ALPHA-SELECTIVE-EXPERT-ENGAGEMENT-PLANNING-001",Possible future answer assembly or expert path behavior only after explicit approval,high,protected,"API endpoint tests; provider fake tests; no-live-provider checks; response schema regression",blocked,Do not change /v1/solve in planning work.
SIM-008,service/app.py::_build_provider_request,provider-boundary,Builds provider call request from query context strategy and model set,runtime,ALPHA-SELECTIVE-EXPERT-ENGAGEMENT-PLANNING-001,Avoid prompt orchestration or provider metadata behavior here,high,protected,"provider contract tests; API tests; metadata redaction tests",blocked,Provider boundary must remain stable.
SIM-009,service/app.py::_expert_step_one_prompt,provider-prompt,Expert preview prompt construction,runtime,"ALPHA-ANSWER-STRUCTURE-V2-001; ALPHA-SELECTIVE-EXPERT-ENGAGEMENT-PLANNING-001",Future prompt wording only after approval,high,protected,"prompt snapshot tests; expert fake-provider API tests; brevity golden tests",refine,Prompt wording can affect live provider outputs.
SIM-010,service/app.py::_expert_step_two_prompt,provider-prompt,Expert answer prompt construction,runtime,"ALPHA-BREVITY-CONTROL-001; ALPHA-ANSWER-STRUCTURE-V2-001",Future concise answer/protocol wording only after approval,high,protected,"prompt snapshot tests; answer-structure golden tests; no-live-provider tests",refine,Prompt wording is a behavior change.
