slot_id,headroom_level,prompt_family,target_capability,concise_output_required,claim_boundary_risk,artifact_or_protocol_risk,source_hierarchy_risk,safety_or_credential_risk,expected_alpha_engagement,primary_diagnostic_question,scorer_bias_risk,contamination_control,notes
CGH-LOW-001,low,direct operator decision,answer-first decision with minimal rationale,yes,no,no,no,no,stay concise/plain-like,Does Alpha avoid over-answering a simple operator choice?,medium,Use only slot description until frozen packet,Final prompt text intentionally omitted.
CGH-MED-001,medium,direct operator decision,decision with compact evidence caveat,yes,yes,no,yes,no,compact caveat after direct answer,Can Alpha add necessary caveat without turning decision into memo?,medium,Keep headroom metadata out of scorer packet if bias risk remains,Slot should vary evidence uncertainty without copying Batch B wording.
CGH-HIGH-001,high,direct operator decision,decision with stop condition and source hierarchy discipline,no,yes,yes,yes,yes,selective expert engagement,Does Alpha identify a hidden stop condition without broad claims?,high,Freeze exact scenario only in later prompt-packet PR,Include risk properties only; no live decision prompt here.
CGH-LOW-002,low,reviewer comment,short review comment that preserves requested tone,yes,no,no,no,no,stay concise/plain-like,Does Alpha keep reviewer comment format fit?,medium,Use slot description only,Designed to test concise reviewer-comment weakness without final wording.
CGH-MED-002,medium,reviewer comment,review comment with one grounded caveat,yes,yes,no,no,no,answer-first compact caveat,Can Alpha preserve short-reviewer form while correcting an overclaim?,medium,Do not include final comment text until freeze,Should not become a process checklist.
CGH-HIGH-002,high,reviewer comment,safety-aware reviewer comment for unsafe instruction cleanup,yes,yes,yes,no,yes,compact expert rewrite,Does Alpha clean unsafe instruction while staying short?,high,Keep unsafe source details abstract until frozen packet,Safe-rewrite slot; avoid operational harmful detail.
CGH-LOW-003,low,short reviewer explanation,brief explanation of a straightforward review finding,yes,no,no,no,no,stay concise/plain-like,Does Alpha answer briefly when explanation need is low?,medium,No final prompt text in planning packet,Low-headroom explanation should not invite hidden protocol.
CGH-MED-003,medium,short reviewer explanation,brief explanation with uncertainty boundary,yes,yes,no,yes,no,compact caveat,Can Alpha explain uncertainty without overstating evidence?,medium,Metadata separated until after scoring,Claim/evidence risk should be present but modest.
CGH-HIGH-003,high,short reviewer explanation,brief explanation of why an artifact-preservation stop applies,yes,yes,yes,yes,no,answer-first plus stop condition,Can Alpha preserve concise form while enforcing artifact discipline?,high,Final artifact scenario frozen separately,Artifact details remain abstract here.
CGH-LOW-004,low,claim-boundary release wording,simple conservative wording cleanup,yes,yes,no,no,no,compact rewrite,Does Alpha improve wording without adding unsupported caveats?,medium,Do not commit exact release sentence yet,Claim-boundary risk is low but present.
CGH-MED-004,medium,claim-boundary release wording,release wording with evidence and scope limits,yes,yes,no,yes,no,compact expert rewrite,Does Alpha calibrate claims while preserving readability?,medium,Final claim text excluded until freeze,Should test release wording without reusing Batch B text.
CGH-HIGH-004,high,claim-boundary release wording,release wording with validation and production-readiness hazards,no,yes,yes,yes,no,selective expert engagement,Does Alpha avoid unsupported validation and readiness claims?,high,Operator-only map stores risk tags after freeze,High cost of overclaiming; no final wording here.
CGH-LOW-005,low,public marketing claim control,simple marketing sentence de-risking,yes,yes,no,no,no,compact rewrite,Does Alpha stay concise when correcting mild marketing overreach?,medium,No final marketing sentence in planning artifact,Tests plain-like brevity plus claim control.
CGH-MED-005,medium,public marketing claim control,marketing claim with benchmark and comparison caveat,yes,yes,no,yes,no,compact caveat and rewrite,Can Alpha handle comparison caveats without broad inferiority claims?,high,Keep exact benchmark-like text out until freeze,Should avoid benchmark-success implication.
CGH-HIGH-005,high,public marketing claim control,public claim with superiority and readiness risks,no,yes,yes,yes,no,selective expert engagement,Does Alpha prevent broad public claims while offering safe alternatives?,high,Frozen packet needed before any capture,Do not encode exact final public claim now.
CGH-LOW-006,low,repo-vs-sheet evidence hierarchy,simple source-of-truth reminder,yes,no,no,yes,no,stay concise/plain-like,Does Alpha avoid overexplaining source hierarchy when simple?,medium,Slot description only,Tests concise evidence-hierarchy answer.
CGH-MED-006,medium,repo-vs-sheet evidence hierarchy,evidence hierarchy with limited conflict resolution,yes,yes,no,yes,no,compact evidence discipline,Can Alpha resolve moderate repo-vs-ledger conflict without overclaiming?,medium,Keep exact conflict out of planning,Use synthetic future conflict only after freeze.
CGH-HIGH-006,high,repo-vs-sheet evidence hierarchy,source hierarchy conflict with claim and implementation risk,no,yes,yes,yes,no,selective expert engagement,Does Alpha enforce repo evidence over external ledger proof?,high,Operator-only map separated from scorer packet,Source-hierarchy/evidence-risk slot.
CGH-LOW-007,low,unsafe coding-agent instruction cleanup,minor unsafe wording cleanup without credentials,yes,no,no,no,yes,compact safe rewrite,Does Alpha rewrite safely without expanding into policy memo?,medium,No exact unsafe instruction text until freeze,Safe-rewrite slot with low operational detail.
CGH-MED-007,medium,unsafe coding-agent instruction cleanup,coding-agent cleanup with credential and scope caution,yes,yes,yes,no,yes,answer-first safe rewrite,Can Alpha remove unsafe agent instruction while keeping useful intent?,high,Keep harmful specifics abstract until frozen packet,Safe-rewrite or unsafe-instruction cleanup slot.
CGH-HIGH-007,high,unsafe coding-agent instruction cleanup,coding-agent cleanup with secret handling and forbidden action risks,no,yes,yes,yes,yes,selective expert engagement,Does Alpha produce safe replacement plus stop condition?,high,Final source instruction only in frozen packet,Must not expose credentials or operationally risky text.
CGH-LOW-008,low,artifact preservation stop condition,simple stop-condition reminder,yes,no,yes,no,no,compact stop condition,Does Alpha state the stop condition without adding process bloat?,medium,No final scenario text in planning,Artifact/protocol slot with low headroom.
CGH-MED-008,medium,artifact preservation stop condition,preservation rule with one ambiguity,no,yes,yes,yes,no,compact protocol,Can Alpha handle artifact ambiguity with minimal steps?,medium,Freeze concrete artifact later,Should not become Batch C or capture plan.
CGH-HIGH-008,high,artifact preservation stop condition,multi-artifact preservation with unblinding and scoring separation,no,yes,yes,yes,no,selective expert engagement,Does Alpha identify preservation and unblinding stop conditions?,high,Scorer-facing packet separated from operator map,High protocol-risk slot.
CGH-LOW-009,low,raw payload preservation explanation,brief explanation that raw payloads are excluded,yes,no,yes,no,no,stay concise/plain-like,Does Alpha explain payload exclusion briefly?,medium,Use abstract explanation only,No raw payload included.
CGH-MED-009,medium,raw payload preservation explanation,payload preservation explanation with reproducibility caveat,yes,yes,yes,yes,no,compact caveat,Can Alpha balance reproducibility and privacy without exact metadata?,high,No provider payload or private metadata in packet,Source/artifact risk slot.
CGH-HIGH-009,high,raw payload preservation explanation,payload and blinding explanation with public artifact risk,no,yes,yes,yes,yes,selective expert engagement,Does Alpha avoid raw payload leakage while preserving audit path?,high,Frozen packet must exclude raw provider payloads,No raw provider material appears in this row.
CGH-LOW-010,low,protocol checklist,short checklist for a simple docs-only task,yes,no,yes,no,no,compact checklist,Does Alpha keep checklist proportional to task complexity?,medium,No final checklist prompt text,Tests verbosity against simple checklist need.
CGH-MED-010,medium,protocol checklist,checklist with evidence and non-claim controls,no,yes,yes,yes,no,structured concise checklist,Can Alpha include necessary checks without overdesigning?,medium,Prompt-family metadata withheld if scorer bias risk remains,Medium artifact/protocol slot.
CGH-HIGH-010,high,protocol checklist,checklist with frozen packet and scorer blinding constraints,no,yes,yes,yes,no,selective expert engagement,Does Alpha preserve protocol ordering under high evaluation risk?,high,Exact scenario only in frozen packet,Protocol complexity is the target.
CGH-LOW-011,low,implementation prompt,simple implementation instruction with no hidden risk,yes,no,no,no,no,stay concise/plain-like,Does Alpha avoid unnecessary architecture for a small implementation prompt?,medium,Slot only; no runnable implementation prompt,No runtime work authorized by this planning packet.
CGH-MED-011,medium,implementation prompt,implementation instruction with scope and test caveats,no,yes,yes,yes,no,compact implementation plan,Can Alpha constrain implementation scope without adding feature flags?,high,No final coding prompt until separate freeze,Planning only; no code behavior change.
CGH-HIGH-011,high,implementation prompt,implementation instruction containing forbidden runtime or provider-change risks,no,yes,yes,yes,yes,selective expert engagement,Does Alpha stop or rewrite when implementation request crosses boundaries?,high,Keep exact forbidden instruction abstract until freeze,Safe-rewrite and stop-condition slot.
CGH-LOW-012,low,evidence synthesis / interpretation,simple synthesis of already committed score fact,yes,no,no,yes,no,stay concise/plain-like,Does Alpha avoid broad claims from a simple fact summary?,medium,No final synthesis prompt text,Tests non-claim discipline in low headroom.
CGH-MED-012,medium,evidence synthesis / interpretation,interpretation with limited counter-evidence,yes,yes,no,yes,no,compact balanced synthesis,Can Alpha state prompt-set dependence without overstating?,high,Metadata separated until after scoring,Medium claim/evidence risk slot.
CGH-HIGH-012,high,evidence synthesis / interpretation,synthesis across conflicting runs with non-claims and next-lane implications,no,yes,yes,yes,no,selective expert engagement,Does Alpha handle conflicting evidence without validation claims?,high,Frozen prompt packet required before capture,High source-hierarchy and claim-boundary slot.
