item_id,title,lane_id,status,group,controlling_pr,controlling_packet,selected_next_lane,evidence_state,deferrals_affected,blocked_by,next_action,owner,risk_level,archive_status,notes
PR-516,Mark commit-signing test hermeticity fixed,TEST-HERMITICITY-GIT-COMMIT-SIGNING-001,Done,Done,#516,,None,tests/helpers/git_repo.py added hermetic git helper; affected tests updated,ISS-006,None,Mark ISS-006/test hermeticity row Done,repo maintainer,Low,Completed keep as evidence,Code/test fix merged; no provider/runtime implication
PR-517,Mark spec contamination reconciliation captured,ALPHA-SOLVER-SPEC-CONTAMINATION-RECONCILIATION-001,Done,Done,#517,docs/evals/runs/alpha-solver-spec-contamination-reconciliation-001/,ALPHA-SOLVER-SPEC-SOURCE-RECONSTRUCTION-001,22 contaminated specs marked non-authoritative; reconstruction route captured,ISS-001,None,Mark reconciliation Done; keep reconstruction as follow-up,docs/specs owner,Medium,Completed keep as evidence,Do not rewrite from memory; MCP-005 remains canonical
PR-518,Mark DEF-002 gap closure plan captured,ALPHA-SOLVER-DEF-002-GAP-CLOSURE-PLAN-001,Done,Done,#518,docs/evals/runs/alpha-solver-def-002-gap-closure-plan-001/,ALPHA-SOLVER-DEF-002-CREDENTIAL-STORAGE-HARDENING-001,Gap closure sequence captured; no fixes in that packet,DEF-002,None,Mark plan Done; use later PRs for remediation state,security owner,Medium,Completed keep as evidence,Plan does not close DEF-002
PR-519,Mark runtime entrypoint map captured,ALPHA-SOLVER-RUNTIME-ENTRYPOINT-MAP-001,Done,Done,#519,docs/evals/runs/alpha-solver-runtime-entrypoint-map-001/,ALPHA-SOLVER-RUNTIME-ENTRYPOINT-DOCS-CROSS-LINK-001,Entrypoints mapped; no consolidation or exposure authorized,ISS-008;ISS-012,None,Mark map Done; add optional docs cross-link follow-up,architecture owner,Medium,Completed keep as evidence,Useful for public exposure planning but not readiness
PR-521,Mark credential storage RR-02 hardened,ALPHA-SOLVER-DEF-002-CREDENTIAL-STORAGE-HARDENING-001,Done,Done,#521,docs/evals/runs/alpha-solver-def-002-credential-storage-hardening-001/,ALPHA-SOLVER-DEF-002-DEFAULT-CREDENTIALS-HARDENING-001,RR-02 file-backed credential storage hardened within narrow boundary,DEF-002,None,Mark RR-02 Done but DEF-002 still open,security owner,High,Completed keep as evidence,Does not authorize public exposure
PR-526,Mark default credentials RR-03 hardened,ALPHA-SOLVER-DEF-002-DEFAULT-CREDENTIALS-HARDENING-001,Done,Done,#526,docs/evals/runs/alpha-solver-def-002-default-credentials-hardening-001/,ALPHA-SOLVER-DEF-002-CORS-DEFAULT-HARDENING-001,Built-in service key fallback removed; dashboard default password denied,DEF-002,None,Mark RR-03 Done,security owner,High,Completed keep as evidence,Narrow hardening only; not public readiness
PR-528,Mark spec source reconstruction completed,SPEC-SOURCE-RECONSTRUCTION-001,Done,Done,#528,.specs/ and docs/SPECS_RECONCILIATION_PLAN.md,Spec follow-up cleanup if needed,22 specs reconstructed from committed code/tests,ISS-001,None,Mark contamination implementation row Done,docs/specs owner,Medium,Completed keep as evidence,"If sheet has separate #517 and #528 rows, preserve both: #517 plan/reconcile, #528 reconstruction"
PR-532,Mark CORS boundary RR-01 hardened,ALPHA-SOLVER-DEF-002-CORS-BOUNDARY-FIX-001,Done,Done,#532,docs/evals/runs/alpha-solver-def-002-cors-boundary-fix-001/,ALPHA-SOLVER-DEF-002-V1-SOLVE-AUTH-TENANCY-BOUNDARY-001,Local-only default origins and wildcard+credentials rejection captured,DEF-002,None,Mark RR-01 Done,security owner,High,Completed keep as evidence,Verify sheet does not leave stale CORS blocker as open without residual note
PR-535,Mark provider telemetry disclosure hardened,ALPHA-SOLVER-DEF-002-PROVIDER-TELEMETRY-DISCLOSURE-001,Done,Done,#535,docs/evals/runs/alpha-solver-def-002-provider-telemetry-disclosure-001/,ALPHA-SOLVER-DEF-002-DATA-CLASSIFICATION-REGISTRY-RECONCILIATION-001,Default structured logging redaction and disclosure evidence captured,DEF-002,None,Mark telemetry/disclosure row Done within boundary,security owner,Medium,Completed keep as evidence,Verbose/debug opt-in boundaries remain to respect
ARCHIVE-001,Archive completed historical evidence packets from active queue,RECENT-EVIDENCE-ARCHIVE-SWEEP-001,Archive,Archive,#512-#537,docs/evals/runs/,None,Completed packets should be kept as evidence and removed from active queue,DEF-001;DEF-002;ISS-001,None,Move completed/superseded rows out of active backlog without deleting artifacts,operator/backlog owner,Low,Archive historical,Archive means not active; never delete evidence packets
