comparison_id,candidate_id,winner,alpha_delta_total,alpha_delta_lift_cluster,alpha_delta_polish_cluster,alpha_delta_brevity,prompt_family,diagnostic_classification,diagnostic_priority,rationale
cmp-B1-CAND-001,B1-CAND-001,Alpha,10,3,1,1,Claim-boundary and release wording,substantive-lift-candidate;strong-alpha-signal,high,Strong Alpha total and positive lift on claim-boundary and evidence-needed framing; still needs claim-detail caution.
cmp-B1-CAND-003,B1-CAND-003,Plain,-3,-1,-1,-1,Source hierarchy and repo-vs-sheet discipline,plain-format-fit-win;brevity-risk,medium,Plain won narrowly through direct operator-fit and source hierarchy discipline; Alpha was overlong and generic.
cmp-B1-CAND-005,B1-CAND-005,Plain,-5,-1,-2,-2,Backlog/reviewer comment,plain-format-fit-win;brevity-risk;strong-plain-signal,high,Plain fit the concise reviewer-comment format; Alpha lost lift and polish, especially brevity.
cmp-B1-CAND-007,B1-CAND-007,Alpha,3,1,0,-2,Unsafe instruction cleanup,substantive-lift-candidate;brevity-risk;narrow-win-review,high,Alpha improved unsafe-instruction and claim cleanup, but the narrow win carries a large brevity penalty.
cmp-B1-CAND-009,B1-CAND-009,Alpha,5,4,-1,-1,Public marketing claim control,substantive-lift-candidate,medium,Alpha's win is lift-led by claim definition and corroboration despite negative polish and brevity.
cmp-B1-CAND-011,B1-CAND-011,Alpha,1,1,0,0,Artifact preservation stop condition,narrow-win-review;polish-sensitive-win,high,Alpha won by only one point through completeness; diagnostic review should test whether the win survives compression.
cmp-B1-CAND-013,B1-CAND-013,Alpha,3,2,-1,-1,Implementation prompt summarization,narrow-win-review;brevity-risk,high,Alpha lift was positive, but over-extension and negative polish make this a caution case.
cmp-B1-CAND-015,B1-CAND-015,Plain,-8,-4,-1,0,Brevity/control,strong-plain-signal;plain-format-fit-win,high,Plain won strongly by refusing to invent findings and matching the short reviewer-facing constraint.
cmp-B1-CAND-017,B1-CAND-017,Plain,-3,-1,-1,-1,Live/private data and blinding-risk review,plain-format-fit-win;brevity-risk,medium,Plain gave a cleaner safe rewrite; Alpha over-expanded into roles and process details.
cmp-B1-CAND-020,B1-CAND-020,Alpha,20,6,3,-1,Protocol checklist,substantive-lift-candidate;strong-alpha-signal,high,Strong Alpha signal with large lift and positive polish; length-strip review should test if protocol lift persists.
cmp-B1-CAND-021,B1-CAND-021,Alpha,24,10,2,-2,Truthful alternative wording,substantive-lift-candidate;strong-alpha-signal;brevity-risk,high,Strongest lift-led Alpha win; still needs brevity and illustrative-number caution.
cmp-B1-CAND-022,B1-CAND-022,Alpha,3,1,0,0,Raw provider payload preservation explanation,narrow-win-review;substantive-lift-candidate,medium,Alpha gave a better artifact-preservation explanation, but the narrow margin warrants caution.
