prompt_family,comparisons,alpha_wins,plain_wins,total_alpha_delta,observed_pattern,diagnostic_question,suggested_future_test
Claim-boundary and release wording,cmp-B1-CAND-001,1,0,10,Alpha showed claim-boundary and evidence-needed framing lift.,Does the claim-boundary lift survive when release-note evidence bullets are compressed?,Length-strip review plus claim-boundary-only adjudication.
Source hierarchy and repo-vs-sheet discipline,cmp-B1-CAND-003,0,1,-3,Plain fit the direct operator trust-rule format better.,Can Alpha preserve source hierarchy discipline without overlong process framing?,Forced-concise Alpha variant and format-fit gate simulation.
Backlog/reviewer comment,cmp-B1-CAND-005,0,1,-5,Plain matched concise reviewer-comment expectations better.,Where does Alpha over-specify acceptance criteria or timelines in reviewer comments?,Forced-concise Alpha variant on reviewer-comment prompts.
Unsafe instruction cleanup,cmp-B1-CAND-007,1,0,3,Alpha improved safety and unsupported-claim cleanup but was verbose.,Does unsafe-instruction lift remain after removing invented command and file examples?,Length-strip review focused on safety and claim-boundary dimensions.
Public marketing claim control,cmp-B1-CAND-009,1,0,5,Alpha gave stronger claim-control alternatives despite lower polish.,Which public-claim prompts need Alpha's evidence checks versus a short refusal?,Lift-only adjudication and selective-engagement gate simulation.
Artifact preservation stop condition,cmp-B1-CAND-011,1,0,1,Alpha completeness narrowly beat plain but may be length-sensitive.,Is the stop-condition win substantive or mostly completeness polish?,Length-strip review and lift-only adjudication.
Implementation prompt summarization,cmp-B1-CAND-013,1,0,3,Alpha found implementation constraints but overextended into optional design.,Can Alpha summarize implementation constraints without adding runtime or governance scope?,Forced-concise Alpha variant and prompt-family split.
Brevity/control,cmp-B1-CAND-015,0,1,-8,Plain strongly won the short reviewer-facing constraint.,What prompt cues should suppress expert expansion?,Selective-engagement gate simulation and forced-concise Alpha variant.
Live/private data and blinding-risk review,cmp-B1-CAND-017,0,1,-3,Plain gave a cleaner safe rewrite while Alpha over-designed process.,Can Alpha preserve risk review while fitting a rewrite-only deliverable?,Forced-concise Alpha variant and format-fit review.
Protocol checklist,cmp-B1-CAND-020,1,0,20,Alpha showed strong protocol and preservation completeness.,How much of the protocol-checklist win remains after removing generic governance language?,Length-strip review and lift-only adjudication.
Truthful alternative wording,cmp-B1-CAND-021,1,0,24,Alpha showed strong truthful-alternative and evidence-boundary lift.,Can Alpha keep evidence requirements while removing illustrative numbers and verbosity?,Length-strip review plus claim-boundary calibration review.
Raw provider payload preservation explanation,cmp-B1-CAND-022,1,0,3,Alpha explained artifact preservation better but by a narrow margin.,Does the preservation explanation remain better when assumptions about scoring emphasis are removed?,Length-strip review and artifact-preservation-focused adjudication.
