id,name,type,bucket,category,ecosystem,product_line,modality,registry_file,semver,status,primary_use_case,high_level_explanation,capabilities,core_capabilities,best_integration_scenarios,limitations,example_workflow,adoption_level,sentiment_score_0_10,community_notes,cost_tier,pricing_model,best_in_class_strength,risk_flags,compliance_scope,data_handling,audit_level,sla_profile_ref,breaker_profile_ref,p50_latency_ms,entrypoints,sdk_langs,wrapper_requirements,integration_notes,evidence_sources,last_reviewed_at,owner,notes
model.openai.chatgpt,ChatGPT,model,LLM,Generalist,OpenAI,Chat,text,tools.json,0.6.0,active,Conversational AI,General-purpose conversational model from OpenAI.,[],[],[],[],,dominant,9.0,,Freemium + Pro,,Ecosystem breadth + plugins/tools,[],[],,,,,,"['ui', 'api']","['python', 'js']",[],,[],2025-09-03,,
model.openai.dalle,DALL·E,model,GenAI,Images,OpenAI,Images,image,tools.json,0.6.0,active,Text-to-image,OpenAI image generation model.,[],[],[],[],,established,8.0,,Paid,,Convenient inside OpenAI stack,[],[],,,,,,"['ui', 'api']","['python', 'js']",[],,[],2025-09-03,,
model.openai.voice,OpenAI Voice,model,Speech,TTS/STT,OpenAI,Voice,audio,tools.json,0.6.0,active,"Realtime voice, TTS/STT",Speech capabilities from OpenAI for TTS/STT.,[],[],[],[],,growing,7.5,,Paid,,Tight integration,[],[],,,,,,"['ui', 'api']","['python', 'js']",[],,[],2025-09-03,,
model.anthropic.claude,Claude,model,LLM,Generalist,Anthropic,Chat,text,tools.json,0.6.0,active,Long-context reasoning,General LLM by Anthropic.,[],[],[],[],,established,9.0,,Freemium + API,,Long-context safe reasoning,[],[],,,,,,"['ui', 'api']",[],[],,[],2025-09-03,,
model.anthropic.claude_code,Claude Code,model,GenAI,Code,Anthropic,Code,text,tools.json,0.6.0,active,Coding assistant,Claude variant for code tasks.,[],[],[],[],,growing,8.0,,API,,Safe refactoring + large context,[],[],,,,,,"['ui', 'api']",[],[],,[],2025-09-03,,
model.google.gemini,Gemini,model,LLM,Generalist,Google,Chat,text,tools.json,0.6.0,active,Grounded chat,Google's general LLM with search grounding.,[],[],[],[],,established,8.5,,Freemium + API,,Search grounding,[],[],,,,,,"['ui', 'api']",[],[],,[],2025-09-03,,
tool.google.notebooklm,NotebookLM,tool,Productivity,Research,Google,Knowledge,text,tools.json,0.6.0,active,Doc-grounded research,Summarize and reason over uploaded docs.,[],[],[],[],,growing,7.0,,Freemium,,Doc grounding,[],[],,,,,,['ui'],[],[],,[],2025-09-03,,
model.google.imagen,Imagen,model,GenAI,Images,Google,Images,image,tools.json,0.6.0,active,Text-to-image,Google's image generation model.,[],[],[],[],,growing,7.5,,Paid,,Photorealism,[],[],,,,,,['api'],[],[],,[],2025-09-03,,
model.google.chirp,Chirp,model,Speech,TTS/STT,Google,Voice,audio,tools.json,0.6.0,active,STT/TTS,Google speech model for recognition and synthesis.,[],[],[],[],,established,8.0,,Paid,,Robust STT,[],[],,,,,,['api'],[],[],,[],2025-09-03,,
model.llama.chat,Llama Chat,model,LLM,Generalist,Llama,Chat,text,tools.json,0.6.0,active,Open LLM chat,Open ecosystem chat model.,[],[],[],[],,established,8.5,,Free/OSS,,Local deploy,[],[],,,,,,"['api', 'local']",[],[],,[],2025-09-03,,
model.llama.code,Llama Code,model,GenAI,Code,Llama,Code,text,tools.json,0.6.0,active,Coding tasks,Open coding model.,[],[],[],[],,growing,8.0,,Free/OSS,,Customizability,[],[],,,,,,"['api', 'local']",[],[],,[],2025-09-03,,
model.llama.vision,Llama Vision,model,Vision,Multimodal,Llama,Vision,image,tools.json,0.6.0,active,Vision-language,Open vision-language model.,[],[],[],[],,growing,7.5,,Free/OSS,,OSS flexibility,[],[],,,,,,[],[],[],,[],2025-09-03,,
model.mistral.chat,Mistral Chat,model,LLM,Generalist,Mistral,Chat,text,tools.json,0.6.0,active,Fast reasoning,Lightweight chat model.,[],[],[],[],,growing,7.5,,Paid,,Latency/efficiency,[],[],,,,,,[],[],[],,[],2025-09-03,,
model.mistral.codestral,Codestral,model,GenAI,Code,Mistral,Code,text,tools.json,0.6.0,active,Coding,Mistral coding model.,[],[],[],[],,growing,7.5,,Paid,,OSS-friendly coding,[],[],,,,,,[],[],[],,[],2025-09-03,,
model.mistral.pixtral,Pixtral,model,Vision,Multimodal,Mistral,Vision,image,tools.json,0.6.0,active,Image reasoning,Mistral multimodal model.,[],[],[],[],,niche,6.8,,Paid,,Lightweight VLM,[],[],,,,,,[],[],[],,[],2025-09-03,,
model.qwen.chat,Qwen Chat,model,LLM,Generalist,Qwen,Chat,text,tools.json,0.6.0,active,Multilingual chat,Qwen chat model.,[],[],[],[],,growing,7.5,,Freemium+Paid,,Multilingual coverage,[],[],,,,,,[],[],[],,[],2025-09-03,,
model.qwen.coder,Qwen Coder,model,GenAI,Code,Qwen,Code,text,tools.json,0.6.0,active,Code generation,Qwen coding model.,[],[],[],[],,growing,7.0,,Freemium+Paid,,Cost-efficient coding,[],[],,,,,,[],[],[],,[],2025-09-03,,
model.qwen.vision,Qwen-VL,model,Vision,Multimodal,Qwen,Vision,image,tools.json,0.6.0,active,Image understanding,Qwen vision-language model.,[],[],[],[],,growing,7.0,,Paid,,VLM balance,[],[],,,,,,[],[],[],,[],2025-09-03,,
model.qwen.audio,Qwen Audio,model,Speech,TTS/STT,Qwen,Voice,audio,tools.json,0.6.0,active,Speech tasks,Qwen speech model.,[],[],[],[],,niche,6.5,,Paid,,Multilingual speech,[],[],,,,,,[],[],[],,[],2025-09-03,,
model.deepseek.chat,DeepSeek Chat,model,LLM,Generalist,DeepSeek,Chat,text,tools.json,0.6.0,active,Efficient reasoning,"Open, low-cost chat model.",[],[],[],[],,growing,7.0,,Open-source/Free,,Efficiency,[],[],,,,,,[],[],[],,[],2025-09-03,,
tool.minimax.chat,MiniMax Chat,tool,Generalist LLM / Chat,Generalist LLM / Chat,MiniMax,,,tools.json,0.6.0,active,Conversational partner,MiniMax Chat within MiniMax ecosystem.,[],[],[],[],,Growing,7.0,,Freemium + Paid,,Cost-effective chatbot,[],[],,,,,,"['api', 'ui']","['python', 'js']",[],,[],2025-09-03,,
tool.minimax.agent,MiniMax Agent,tool,Agent Framework,Agent Framework,MiniMax,,,tools.json,0.6.0,active,Autonomous workflows,MiniMax Agent within MiniMax ecosystem.,[],[],[],[],,Early,6.0,,Freemium + Paid,,Integrated MiniMax workflows,[],[],,,,,,"['api', 'ui']","['python', 'js']",[],,[],2025-09-03,,
tool.minimax.audio,MiniMax Audio (Speech 2.5),tool,Speech AI / Voice,Speech AI / Voice,MiniMax,,,tools.json,0.6.0,active,TTS/voice cloning,MiniMax Audio (Speech 2.5) within MiniMax ecosystem.,[],[],[],[],,Growing,7.5,,Freemium + Paid,,Multilingual expressive cloning,[],[],,,,,,"['api', 'ui']","['python', 'js']",[],,[],2025-09-03,,
tool.minimax.hailuo,MiniMax Hailuo (Video + Video Agent),tool,Generative AI – Video,Generative AI,MiniMax,,,tools.json,0.6.0,active,Text-to-video cinematic,MiniMax Hailuo (Video + Video Agent) within MiniMax ecosystem.,[],[],[],[],,Early,6.0,,Freemium + Paid,,Cinematic vibe video gen,[],[],,,,,,"['api', 'ui']","['python', 'js']",[],,[],2025-09-03,,
tool.minimax.m1,MiniMax M1,tool,Text LLM (Reasoning),Text LLM (Reasoning),MiniMax,,,tools.json,0.6.0,active,Long-context reasoning,MiniMax M1 within MiniMax ecosystem.,[],[],[],[],,Growing,7.0,,Freemium + Paid,,Extreme long-context,[],[],,,,,,"['api', 'ui']","['python', 'js']",[],,[],2025-09-03,,
