surface_id,surface_name,file_or_system,role,pr_263_directly_affects,existing_capture_measures_it,measurement_validity,provider_calls_required,authorized_now,risk_level,recommendation,notes
portable_contract,portable prompt/protocol surface,alpha_solver_portable.py,Standalone portable Alpha behavior contract and prompt/protocol surface,yes,not unless future packet explicitly loads it,valid future surface for PR #263 if explicitly loaded,yes for future output-quality measurement; no for offline inspection,planning only,medium,Use as Alpha condition in future frozen portable-surface diagnostic,Do not assume runtime endpoint consumes it.
contract_summary,minimal_behavior_contract_summary(),alpha_solver_portable.py,Summary helper for minimal behavior contract,yes,no,valid for offline contract inspection only,no,planning or offline checks only,low,Use for compliance checks not output-quality proof,Not a provider or runtime measurement by itself.
offline_tests,offline fixture tests,tests/test_alpha_minimal_behavior_contract.py and tests/fixtures/alpha_minimal_behavior_cases.json,Offline golden tests for minimal contract cases,yes,no,valid for contract compliance not live answer-quality measurement,no,yes for safe offline test runs,low,Keep as focused offline regression check,Do not over-read as runtime API evidence.
solve_api,/v1/solve,service/app.py,Runtime API endpoint choosing provider path or modular/reference local solver,no,yes for runtime path but not portable contract,invalid for PR #263 unless proven wired to portable contract,yes for live provider capture; no for local deterministic calls,no,high,Do not use as post-improvement run surface now,Inspected endpoint does not import or call alpha_solver_portable.py.
provider_path,provider path,service/app.py and provider client surface,Provider-backed answer generation when provider mode is enabled,no,yes for provider behavior not portable contract,invalid for isolating PR #263 without explicit portable-contract loading,yes,no,high,Do not run providers in this planning PR,Provider/model drift could swamp measurement.
model_config,model set config,service/config/model_sets.yaml and service model-set resolver,Model selection and budget/config surface,no,yes for configured runtime behavior,invalid as PR #263 measurement surface,yes for live capture,no,high,Inspect only; do not modify,PR #263 did not change model configuration.
routing_selection,routing/selection,alpha_solver_entry.py service/app.py and routing modules,Runtime route and local solver selection surface,no,yes for runtime route behavior,invalid as PR #263 measurement surface unless portable contract is wired,no for local route checks; yes for provider capture,no,medium,Inspect only; do not modify,PR #263 did not change routing.
scoring_rubric,scoring rubric,docs/evals/RESPONSE_QUALITY_RUBRIC.md,Fourteen-dimension scoring contract,no,measures captured outputs after capture,valid for future scoring but not as behavior-change surface,no,inspect only,medium,Reuse unchanged unless a separate approved PR changes it,Do not rescore existing outputs.
batch_b_artifacts,Batch B artifacts,docs/evals/runs/20260603-batch-b-pilot-alpha-vs-plain/,Prior limited pilot evidence,no,no for PR #263 because it predates the change,design reference only; not post-improvement proof,no,inspect only,medium,Use as evidence basis and prompt-risk reference,Score math verifies Plain 405 Alpha 455 delta +50.
complexity_holdout,complexity-gradient future holdout,docs/evals/runs/20260603-batch-b-pilot-alpha-vs-plain/complexity-gradient-holdout-plan.md,Future holdout slot plan without final prompts,no,no,valid planning input for fresh frozen prompts,no now; yes only after approved future capture,planning only,medium,Use slots to reduce prompt contamination,Do not include final prompt text here.
frozen_packet,future frozen prompt packet,future separate lane,Approved future packet binding prompts and surface loading,no,not yet,required before valid portable-surface measurement,yes for approved future capture,no,medium,Create in OUTPUT-DIFF-POST-IMPROVEMENT-FROZEN-PACKET-001,No capture or final scoring in this PR.
